"elapsed_ms","magnetic_native","status"
"0","568","2"
"402","1092","2"
"800","1491","2"
"1203","65003","2"
"1402","61800","2"
"1605","59309","2"
"2003","57790","2"
"2207","57344","2"
"2609","61597","2"
"2808","4080","2"
"3210","20974","2"
"3605","28517","2"
"4011","28863","2"
"4414","22163","2"
"4613","6481","2"
"5011","61934","2"
"5210","59348","2"
"5609","58315","2"
"5812","57871","2"
"6214","57466","2"
"6816","58235","2"
"7214","2082","2"
"7617","21204","2"
"7820","27761","2"
"8019","28760","2"
"8421","28198","2"
"8621","28305","2"
"9023","27981","2"
"9222","23024","2"
"9621","64936","2"
"10023","58994","2"
"10425","58275","2"
"10824","58235","2"
"11027","62452","2"
"11222","608","2"
"11425","5140","2"
"11628","8881","2"
"12027","21429","2"
"12425","28376","2"
"12628","28089","2"
"13031","27981","2"
"13429","7614","2"
"13832","63005","2"
"14234","58994","2"
"14433","58954","2"
"14835","58716","2"
"15035","58556","2"
"15234","58355","2"
"15437","58235","2"
"15636","58114","2"
"15835","57993","2"
"16234","57952","2"
"17039","62547","2"
"17437","1690","2"
"17839","1808","2"
"18242","931","2"
"18441","62885","2"
"18839","57993","2"
"19246","56834","2"
"19648","56766","2"
"20046","57221","2"
"20449","63878","2"
"20648","1847","2"
"20847","2160","2"
"21449","1729","2"
"21847","61631","2"
"22250","58355","2"
"22652","57506","2"
"23054","57750","2"
"23253","57669","2"
"23656","57628","2"
